Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),City,State,Temperature(F),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Duration_Minutes
2,2016-02-08 08:39:43,2016-02-08 09:09:43,39.972038,-82.913521,0.01,Columbus,OH,37.4,29.62,3.0,4.6,0.02,Light Rain,30.0
2,2016-02-08 08:43:20,2016-02-08 09:13:20,39.745888,-84.17041,0.01,Dayton,OH,33.8,29.63,3.0,2.3,0.0,Overcast,30.0
2,2016-02-08 08:53:17,2016-02-08 09:23:17,39.748329,-84.224007,0.01,Dayton,OH,35.6,29.65,7.0,2.3,0.0,Mostly Cloudy,30.0
2,2016-02-08 09:24:37,2016-02-08 09:54:37,39.752174,-84.239952,0.0,Dayton,OH,36.0,29.65,10.0,5.8,0.0,Mostly Cloudy,30.0
2,2016-02-08 09:25:17,2016-02-08 09:55:17,39.740669,-84.184135,0.01,Dayton,OH,37.4,29.63,10.0,6.9,0.0,Overcast,30.0
2,2016-02-08 09:35:35,2016-02-08 10:05:35,39.790703,-84.244461,0.01,Dayton,OH,36.0,29.65,10.0,6.9,0.0,Mostly Cloudy,30.0
2,2016-02-08 10:11:15,2016-02-08 10:41:15,40.052509,-82.88233199999998,0.0,Columbus,OH,33.8,29.62,2.0,4.6,0.01,Light Snow,30.0
2,2016-02-08 10:24:27,2016-02-08 10:54:27,39.773346,-84.224686,0.0,Dayton,OH,36.0,29.65,10.0,6.9,0.0,Mostly Cloudy,30.0
2,2016-02-08 11:53:19,2016-02-08 12:23:19,39.628288,-84.226151,0.01,Miamisburg,OH,35.1,29.65,6.0,8.1,0.02,Overcast,30.0
3,2016-02-08 12:00:00,2016-02-08 12:45:00,40.023487,-82.994888,0.01,Columbus,OH,37.0,29.63,8.0,5.8,0.0,Overcast,45.0
2,2016-02-08 12:16:44,2016-02-08 13:01:44,39.761379,-84.25921600000002,0.01,Dayton,OH,37.9,29.62,10.0,10.4,0.0,Overcast,45.0
2,2016-02-08 12:41:08,2016-02-08 13:11:08,40.158024,-82.641762,1.32,Johnstown,OH,37.9,29.6,5.0,4.6,0.01,Light Snow,30.0
2,2016-02-08 12:52:05,2016-02-08 13:37:05,39.733219,-84.159653,0.0,Dayton,OH,36.0,29.63,7.0,9.2,0.0,Light Snow,45.0
2,2016-02-08 14:24:48,2016-02-08 15:09:48,39.775303,-84.200523,0.0,Dayton,OH,39.9,29.61,10.0,11.5,0.0,Mostly Cloudy,45.0
2,2016-02-08 14:56:57,2016-02-08 15:41:57,39.789322,-84.23910500000002,0.01,Dayton,OH,39.9,29.61,10.0,8.1,0.0,Mostly Cloudy,45.0
2,2016-02-08 15:26:14,2016-02-08 16:11:14,39.75872,-84.183762,0.0,Dayton,OH,39.2,29.62,10.0,4.6,0.0,Mostly Cloudy,45.0
2,2016-02-08 16:16:08,2016-02-08 16:46:08,40.081459,-83.122398,0.01,Dublin,OH,37.0,29.61,10.0,6.9,0.0,Overcast,30.0
2,2016-02-08 17:39:24,2016-02-08 18:24:24,39.83321,-84.112946,0.0,Dayton,OH,34.2,29.66,10.0,3.5,0.02,Light Rain,45.0
3,2016-02-08 18:24:00,2016-02-08 21:00:00,40.042725,-82.99730699999998,0.01,Columbus,OH,33.8,29.62,6.0,5.8,0.0,Overcast,156.0
3,2016-02-08 19:28:00,2016-02-08 21:00:00,39.974415,-82.848854,0.01,Columbus,OH,34.0,29.65,6.0,7.0,0.07,Overcast,92.0
2,2016-02-08 20:22:38,2016-02-08 21:07:38,39.994766,-83.02449,0.01,Columbus,OH,33.1,29.63,7.0,8.1,0.0,Light Snow,45.0
2,2016-02-08 20:43:00,2016-02-08 23:00:00,40.006477,-83.030991,1.09,Columbus,OH,33.1,29.63,9.0,9.2,0.0,Overcast,137.0
2,2016-02-09 04:28:48,2016-02-09 04:58:48,39.742062,-84.186996,0.01,Dayton,OH,23.0,29.65,5.0,11.5,0.0,Light Snow,30.0
2,2016-02-09 05:04:34,2016-02-09 05:34:34,39.843521,-82.78157,0.01,Canal Winchester,OH,23.0,29.63,2.5,11.5,0.0,Light Snow,30.0
2,2016-02-09 05:17:08,2016-02-09 05:47:08,39.782578,-84.178688,0.01,Dayton,OH,22.8,29.69,4.0,11.5,0.0,Light Snow,30.0
3,2016-02-09 05:27:20,2016-02-09 05:57:20,40.007626,-82.912155,0.01,Columbus,OH,26.6,29.62,1.5,8.1,0.01,Light Snow,30.0
2,2016-02-09 05:40:57,2016-02-09 06:10:57,39.447502,-84.19120799999997,0.0,Lebanon,OH,21.0,29.67,0.8,9.2,0.01,Light Snow,30.0
2,2016-02-09 05:47:16,2016-02-09 06:17:16,39.787731,-84.173439,0.01,Dayton,OH,23.0,29.71,3.0,10.4,0.0,Light Snow,30.0
2,2016-02-09 05:56:10,2016-02-09 06:26:10,39.426277,-83.624611,0.01,Sabina,OH,19.9,29.75,1.8,13.8,0.0,Light Snow,30.0
3,2016-02-09 06:06:45,2016-02-09 06:36:45,39.978306,-82.852554,0.01,Columbus,OH,25.0,29.65,1.0,9.2,0.02,Light Snow,30.0
3,2016-02-09 06:13:33,2016-02-09 06:43:33,39.84182,-84.18960600000003,0.01,Dayton,OH,23.0,29.66,2.0,15.0,0.0,Light Snow,30.0
3,2016-02-09 06:12:49,2016-02-09 06:42:49,39.953625,-82.958954,0.01,Columbus,OH,25.0,29.65,1.0,9.2,0.02,Light Snow,30.0
2,2016-02-09 06:21:50,2016-02-09 06:51:50,40.053082,-83.049644,0.01,Columbus,OH,26.1,29.63,2.0,12.7,0.0,Light Snow,30.0
3,2016-02-09 06:20:46,2016-02-09 06:50:46,39.936874,-82.878723,0.01,Columbus,OH,24.8,29.64,1.0,8.1,0.01,Light Snow,30.0
2,2016-02-09 06:34:41,2016-02-09 07:04:41,39.780643,-84.16349,0.01,Dayton,OH,23.0,29.68,4.0,11.5,0.0,Light Snow,30.0
3,2016-02-09 06:41:09,2016-02-09 07:11:09,39.773193,-84.187454,0.01,Dayton,OH,23.0,29.68,4.0,11.5,0.0,Light Snow,30.0
2,2016-02-09 06:48:18,2016-02-09 07:18:18,39.77858,-84.20468100000002,0.01,Dayton,OH,21.9,29.71,2.0,12.7,0.01,Light Snow,30.0
2,2016-02-09 06:53:09,2016-02-09 07:23:09,39.792988,-84.20607,0.01,Dayton,OH,21.9,29.71,2.0,12.7,0.01,Light Snow,30.0
3,2016-02-09 06:54:31,2016-02-09 07:24:31,39.770382,-84.194901,0.01,Dayton,OH,21.9,29.71,2.0,12.7,0.01,Light Snow,30.0
3,2016-02-09 07:03:20,2016-02-09 07:33:20,39.976398,-83.119225,0.01,Columbus,OH,21.2,29.66,1.5,13.8,0.0,Light Snow,30.0
3,2016-02-09 07:05:37,2016-02-09 07:35:37,39.6395,-84.23136099999998,0.01,Dayton,OH,21.0,29.69,1.2,9.2,0.0,Light Snow,30.0
2,2016-02-09 07:04:58,2016-02-09 07:34:58,39.232578,-84.159286,0.01,Goshen,OH,21.0,29.73,2.5,9.2,0.0,Light Snow,30.0
2,2016-02-09 07:15:41,2016-02-09 07:45:41,39.746593,-84.23912,0.01,Dayton,OH,21.9,29.68,2.0,12.7,0.0,Light Snow,30.0
2,2016-02-09 07:41:01,2016-02-09 08:11:01,39.742783,-84.182472,0.01,Dayton,OH,22.5,29.73,1.2,9.2,0.0,Light Snow,30.0
2,2016-02-09 07:42:43,2016-02-09 08:12:43,39.75452,-84.159279,0.01,Dayton,OH,22.5,29.73,1.2,9.2,0.0,Light Snow,30.0
2,2016-02-09 07:42:11,2016-02-09 08:12:11,39.749916,-84.139359,0.01,Dayton,OH,22.5,29.73,1.2,9.2,0.0,Light Snow,30.0
3,2016-02-09 07:46:41,2016-02-09 08:16:41,40.100903,-82.98410799999998,0.01,Columbus,OH,24.8,29.65,1.8,8.1,0.0,Light Snow,30.0
2,2016-02-09 07:54:44,2016-02-09 08:24:44,39.77280800000001,-84.201851,0.0,Dayton,OH,21.2,29.69,2.0,12.7,0.0,Light Snow,30.0
2,2016-02-09 08:06:39,2016-02-09 08:36:39,39.492485,-84.131798,0.01,Waynesville,OH,21.0,29.7,1.2,9.2,0.0,Light Snow,30.0
2,2016-02-09 08:12:44,2016-02-09 08:42:44,39.570904,-84.251724,0.01,Springboro,OH,21.0,29.7,1.2,9.2,0.0,Light Snow,30.0
2,2016-02-09 08:10:20,2016-02-09 08:40:20,39.834282,-82.74382,0.0,Carroll,OH,21.9,29.7,0.8,11.5,0.0,Light Snow,30.0
3,2016-02-09 08:23:36,2016-02-09 08:53:36,39.622787,-84.229858,0.01,Miamisburg,OH,21.0,29.7,1.2,9.2,0.0,Light Snow,30.0
3,2016-02-09 08:24:29,2016-02-09 08:54:29,39.429871,-84.079666,0.01,Oregonia,OH,21.0,29.7,1.2,9.2,0.0,Light Snow,30.0
3,2016-02-09 08:20:30,2016-02-09 08:50:30,41.407391,-81.64676700000003,0.01,Independence,OH,32.0,29.58,10.0,12.7,0.0,Overcast,30.0
3,2016-02-09 08:35:53,2016-02-09 09:05:53,41.424404,-81.57867399999998,0.01,Maple Heights,OH,32.0,29.58,10.0,12.7,0.0,Overcast,30.0
3,2016-02-09 10:06:46,2016-02-09 10:36:46,39.89217,-83.039169,0.01,Grove City,OH,21.2,29.69,5.0,11.5,0.0,Overcast,30.0
2,2016-02-09 11:09:37,2016-02-09 11:39:37,41.022358,-83.650345,0.01,Findlay,OH,27.0,29.64,2.5,19.6,0.0,Light Snow,30.0
2,2016-02-10 06:18:16,2016-02-10 06:48:16,39.206806,-84.053253,0.0,Goshen,OH,16.2,29.95,5.0,9.2,0.0,Light Snow,30.0
3,2016-02-10 06:06:00,2016-02-10 09:06:00,39.973797,-83.022285,0.01,Columbus,OH,15.8,29.87,4.0,11.5,0.0,Light Snow,180.0
2,2016-02-10 06:24:29,2016-02-10 06:54:29,40.048008,-82.86421999999997,0.0,Columbus,OH,15.8,29.87,4.0,11.5,0.0,Light Snow,30.0
2,2016-02-10 06:53:02,2016-02-10 07:23:02,39.814526,-84.021744,0.01,Fairborn,OH,15.4,29.95,7.0,13.8,0.0,Light Snow,30.0
3,2016-02-10 07:50:52,2016-02-10 08:20:52,40.151196,-84.22003199999997,0.01,Piqua,OH,14.0,29.89,7.0,15.0,0.0,Light Snow,30.0
3,2016-02-10 07:50:08,2016-02-10 08:20:08,39.954617,-82.844238,0.01,Columbus,OH,15.1,29.92,1.0,8.1,0.01,Light Snow,30.0
2,2016-02-10 08:01:30,2016-02-10 08:31:30,38.990551,-84.207497,0.01,New Richmond,OH,15.8,29.96,1.8,6.9,0.0,Light Snow,30.0
2,2016-02-10 08:08:36,2016-02-10 08:38:36,40.008995,-83.002678,0.0,Columbus,OH,16.0,29.91,1.5,13.8,0.0,Light Snow,30.0
2,2016-02-10 08:11:22,2016-02-10 08:41:22,39.077332,-84.225014,0.0,Batavia,OH,15.8,29.97,4.0,11.5,0.0,Light Snow,30.0
2,2016-02-10 08:50:54,2016-02-10 09:20:54,39.955452,-82.795845,0.01,Reynoldsburg,OH,16.0,29.93,1.0,9.2,0.0,Light Snow,30.0
3,2016-02-10 09:03:53,2016-02-10 09:33:53,40.224586,-82.929085,0.01,Galena,OH,17.6,29.87,3.0,11.5,0.0,Haze,30.0
3,2016-02-10 09:42:04,2016-02-10 10:12:04,39.976398,-83.119225,0.01,Columbus,OH,15.8,29.91,1.5,10.4,0.0,Light Snow,30.0
3,2016-02-10 10:38:58,2016-02-10 11:08:58,39.98560300000001,-82.939247,0.01,Columbus,OH,17.1,29.96,1.5,13.8,0.0,Light Snow,30.0
3,2016-02-10 17:10:00,2016-02-10 23:59:00,41.040714,-81.61314399999998,0.01,Barberton,OH,19.9,29.89,1.0,10.4,0.0,Light Snow,409.0
3,2016-02-10 18:09:00,2016-02-10 23:59:00,41.083679,-81.579002,1.28,Akron,OH,19.9,29.87,4.0,12.7,0.0,Light Snow,350.0
3,2016-02-10 18:41:44,2016-02-10 19:11:44,40.766891,-82.42411,0.01,Mansfield,OH,16.0,29.97,7.0,11.5,0.0,Overcast,30.0
3,2016-02-11 05:32:29,2016-02-11 06:02:29,41.422199,-81.843018,0.01,Cleveland,OH,14.0,30.14,9.0,11.5,0.0,Light Snow,30.0
3,2016-02-11 05:30:51,2016-02-11 06:00:51,41.063995,-81.57294499999998,0.01,Akron,OH,14.0,30.03,4.0,10.4,0.0,Light Snow,30.0
2,2016-02-11 06:10:07,2016-02-11 06:40:07,39.747753,-84.20558199999998,0.01,Dayton,OH,7.0,30.22,10.0,8.1,0.0,Scattered Clouds,30.0
2,2016-02-11 06:20:28,2016-02-11 06:50:28,38.99408,-84.142021,0.01,Bethel,OH,15.4,30.18,10.0,7.0,0.0,Overcast,30.0
3,2016-02-11 06:29:00,2016-02-11 21:00:00,41.420818,-81.694008,0.01,Cleveland,OH,17.1,30.12,10.0,21.9,0.0,Overcast,871.0
2,2016-02-11 07:17:58,2016-02-11 07:47:58,40.030342,-83.030197,0.01,Columbus,OH,6.1,30.22,10.0,8.1,0.0,Partly Cloudy,30.0
2,2016-02-11 07:18:39,2016-02-11 07:48:39,39.858089,-82.827904,0.01,Canal Winchester,OH,5.0,30.2,10.0,3.5,0.0,Clear,30.0
3,2016-02-11 07:21:55,2016-02-11 07:51:55,41.112324,-81.60992399999998,0.01,Akron,OH,12.0,30.08,2.0,8.1,0.0,Light Snow,30.0
2,2016-02-11 07:28:16,2016-02-11 07:58:16,39.994061,-82.729416,0.01,Pataskala,OH,7.0,30.24,10.0,7.0,0.0,Overcast,30.0
3,2016-02-11 07:29:06,2016-02-11 08:18:10,41.355396,-81.81926700000002,0.01,Cleveland,OH,15.1,30.18,10.0,18.4,0.0,Mostly Cloudy,49.06666666666667
2,2016-02-11 07:53:55,2016-02-11 08:23:55,39.687389,-84.23796800000002,0.0,Dayton,OH,9.0,30.26,9.0,7.0,0.0,Clear,30.0
2,2016-02-11 08:07:02,2016-02-11 08:37:02,39.751038,-84.214325,0.01,Dayton,OH,7.5,30.28,10.0,4.6,0.0,Scattered Clouds,30.0
2,2016-02-11 08:13:24,2016-02-11 08:43:24,39.749916,-84.139359,0.01,Dayton,OH,7.5,30.28,10.0,4.6,0.0,Scattered Clouds,30.0
2,2016-02-11 08:23:17,2016-02-11 08:53:17,39.97509,-82.88460500000002,0.01,Columbus,OH,12.0,30.27,9.0,5.8,0.0,Overcast,30.0
2,2016-02-11 08:34:14,2016-02-11 09:04:14,40.11195,-83.016663,0.48,Columbus,OH,12.0,30.26,10.0,6.9,0.0,Overcast,30.0
3,2016-02-11 08:29:21,2016-02-11 08:59:21,41.424313,-81.57914,0.01,Maple Heights,OH,18.0,30.16,10.0,25.3,0.0,Overcast,30.0
2,2016-02-11 09:16:13,2016-02-11 10:01:13,39.691864,-84.211166,0.0,Dayton,OH,12.0,30.28,10.0,7.0,0.0,Clear,45.0
2,2016-02-11 09:16:13,2016-02-11 10:01:13,39.769173,-84.20728299999998,0.0,Dayton,OH,10.9,30.29,10.0,6.9,0.0,Mostly Cloudy,45.0
2,2016-02-11 09:31:23,2016-02-11 10:01:23,39.75452,-84.159279,0.01,Dayton,OH,13.6,30.32,10.0,3.5,0.0,Overcast,30.0
3,2016-02-11 09:37:31,2016-02-11 10:07:31,39.874947,-83.003937,0.01,Columbus,OH,10.4,30.25,10.0,4.6,0.0,Overcast,30.0
2,2016-02-11 09:46:39,2016-02-11 10:16:39,39.769596,-84.176964,0.01,Dayton,OH,13.6,30.32,10.0,3.5,0.0,Overcast,30.0
2,2016-02-11 10:48:29,2016-02-11 11:18:29,39.776417,-84.23026999999998,0.0,Dayton,OH,18.0,30.32,10.0,10.4,0.0,Mostly Cloudy,30.0
2,2016-02-11 10:53:56,2016-02-11 11:23:56,39.64185,-84.227455,0.0,Dayton,OH,18.0,30.31,10.0,6.9,0.0,Clear,30.0
2,2016-02-11 11:21:42,2016-02-11 11:51:42,39.76028400000001,-84.196434,0.01,Dayton,OH,18.5,30.32,10.0,9.2,0.0,Mostly Cloudy,30.0
2,2016-02-11 12:24:45,2016-02-11 13:09:45,39.802528,-84.220093,0.01,Dayton,OH,19.9,30.32,10.0,9.2,0.0,Mostly Cloudy,45.0
2,2016-02-11 12:24:18,2016-02-11 12:54:18,39.828781,-84.19839499999998,0.01,Dayton,OH,19.9,30.32,10.0,9.2,0.0,Mostly Cloudy,30.0
2,2016-02-11 13:44:46,2016-02-11 14:14:46,39.733337,-84.180359,0.01,Dayton,OH,21.6,30.3,10.0,6.9,0.0,Mostly Cloudy,30.0
2,2016-02-11 14:16:49,2016-02-11 14:46:49,39.759426,-84.138367,0.01,Dayton,OH,21.6,30.3,10.0,6.9,0.0,Mostly Cloudy,30.0
2,2016-02-11 15:34:06,2016-02-11 16:19:06,39.78361500000001,-84.227531,0.0,Dayton,OH,21.0,30.32,10.0,4.6,0.0,Mostly Cloudy,45.0
2,2016-02-11 16:34:27,2016-02-11 17:19:27,39.74004,-84.194923,0.01,Dayton,OH,21.0,30.33,10.0,8.1,0.0,Mostly Cloudy,45.0
3,2016-02-11 17:10:00,2016-02-11 20:00:00,39.735199,-84.204948,0.01,Dayton,OH,21.0,30.33,10.0,8.1,0.0,Mostly Cloudy,170.0
2,2016-02-11 18:27:00,2016-02-11 21:00:00,39.749035,-84.20474200000002,0.01,Dayton,OH,21.0,30.34,10.0,8.1,0.0,Mostly Cloudy,153.0
3,2016-02-11 19:11:00,2016-02-11 21:00:00,39.969223,-82.984131,0.01,Columbus,OH,19.0,30.34,9.0,7.0,0.0,Light Snow,109.0
3,2016-02-11 19:22:00,2016-02-11 21:00:00,39.995369,-82.985085,0.01,Columbus,OH,17.1,30.35,10.0,3.5,0.0,Mostly Cloudy,98.0
3,2016-02-11 20:48:00,2016-02-11 23:54:00,39.744873,-84.205025,0.01,Dayton,OH,17.1,30.35,10.0,7.0,0.0,Scattered Clouds,186.0
2,2016-02-12 16:16:51,2016-02-12 17:01:51,39.749786,-84.199493,0.0,Dayton,OH,26.6,30.04,10.0,16.1,0.0,Light Snow,45.0
2,2016-02-12 16:42:52,2016-02-12 17:27:52,39.780331,-84.195076,0.01,Dayton,OH,25.5,30.11,7.0,16.1,0.0,Light Snow,45.0
3,2016-02-12 17:47:41,2016-02-12 18:52:13,40.109928,-82.97820300000002,1.67,Columbus,OH,23.0,30.03,3.0,12.7,0.0,Light Snow,64.53333333333333
3,2016-02-12 20:04:00,2016-02-12 23:59:00,40.11195,-83.016663,0.94,Columbus,OH,19.0,30.14,5.0,24.2,0.0,Light Snow,235.0
3,2016-02-12 20:12:00,2016-02-12 23:59:00,40.112156,-83.035072,0.94,Columbus,OH,19.0,30.14,5.0,24.2,0.0,Light Snow,227.0
3,2016-02-12 20:41:00,2016-02-12 23:59:00,39.871761,-82.933449,2.79,Columbus,OH,19.9,30.13,10.0,23.0,0.0,Scattered Clouds,198.0
3,2016-02-12 23:48:00,2016-02-13 01:00:00,39.934517,-82.86065699999997,0.01,Columbus,OH,16.0,30.25,10.0,13.8,0.0,Mostly Cloudy,72.0
3,2016-02-13 11:05:00,2016-02-13 11:35:00,40.02404,-82.99479699999998,0.01,Columbus,OH,10.0,30.54,10.0,11.5,0.0,Partly Cloudy,30.0
3,2016-02-13 11:05:21,2016-02-13 12:05:21,41.014015,-81.932777,0.01,Seville,OH,8.1,30.48,10.0,13.8,0.0,Scattered Clouds,60.0
2,2016-02-13 11:17:01,2016-02-13 12:17:01,40.575069,-82.528145,0.01,Bellville,OH,7.0,30.49,10.0,11.5,0.0,Clear,60.0
3,2016-02-13 11:25:42,2016-02-13 11:55:42,39.996578,-84.21680500000002,0.01,Troy,OH,10.9,30.57,10.0,9.2,0.0,Scattered Clouds,30.0
3,2016-02-13 12:56:31,2016-02-13 13:26:31,39.986324,-82.985458,0.01,Columbus,OH,12.9,30.53,10.0,16.1,0.0,Mostly Cloudy,30.0
3,2016-02-13 12:55:47,2016-02-13 13:25:47,40.013062,-82.90213,0.01,Columbus,OH,12.9,30.53,10.0,16.1,0.0,Mostly Cloudy,30.0
3,2016-02-14 10:13:00,2016-02-14 23:59:00,39.981709,-82.98436,0.01,Columbus,OH,10.0,30.52,10.0,5.8,0.0,Scattered Clouds,826.0
3,2016-02-14 10:49:23,2016-02-14 11:19:23,39.953022,-82.99889399999998,0.01,Columbus,OH,12.9,30.5,10.0,10.4,0.0,Scattered Clouds,30.0
3,2016-02-14 10:41:57,2016-02-14 11:11:57,39.973812,-82.983162,0.01,Columbus,OH,12.9,30.5,10.0,10.4,0.0,Scattered Clouds,30.0
3,2016-02-14 18:15:23,2016-02-14 19:30:00,39.978306,-82.852554,0.01,Columbus,OH,15.8,30.24,0.5,10.4,0.0,Snow,74.61666666666666
3,2016-02-14 19:17:01,2016-02-14 20:30:00,39.917412,-83.014236,0.01,Columbus,OH,17.6,30.23,1.0,7.0,0.0,Light Snow,72.98333333333333
2,2016-02-15 04:53:47,2016-02-15 05:23:47,39.469582,-83.712799,0.01,Wilmington,OH,23.0,30.09,2.5,8.1,0.0,Overcast,30.0
2,2016-02-15 05:22:00,2016-02-15 05:52:00,39.63958,-84.234818,0.01,Miamisburg,OH,23.0,29.97,1.5,8.1,0.0,Overcast,30.0
3,2016-02-15 05:42:25,2016-02-15 06:12:25,39.975986,-82.996307,0.71,Columbus,OH,21.9,30.06,5.0,5.8,0.0,Light Freezing Drizzle,30.0
3,2016-02-15 06:36:00,2016-02-15 09:00:00,39.951401,-83.040161,0.01,Columbus,OH,22.8,30.02,3.0,8.1,0.0,Light Snow,144.0
2,2016-02-15 07:02:39,2016-02-15 07:32:39,39.96888,-83.022263,2.04,Columbus,OH,23.0,30.03,3.0,5.8,0.0,Light Freezing Drizzle,30.0
3,2016-02-15 07:17:51,2016-02-15 07:47:51,39.804295,-84.178917,0.01,Dayton,OH,23.0,30.03,0.2,5.8,0.0,Light Freezing Drizzle,30.0
2,2016-02-15 07:15:56,2016-02-15 07:45:56,39.831444,-84.097267,0.0,Dayton,OH,24.1,30.04,1.5,5.8,0.0,Light Snow,30.0
3,2016-02-15 07:07:00,2016-02-15 10:00:00,39.890587,-83.03538499999998,0.01,Grove City,OH,24.8,30.01,1.5,5.8,0.0,Light Snow,173.0
3,2016-02-15 07:23:58,2016-02-15 07:53:58,39.770977,-84.183914,0.01,Dayton,OH,24.8,30.04,1.5,2.3,0.0,Light Freezing Drizzle,30.0
2,2016-02-15 07:28:24,2016-02-15 07:58:24,39.808121,-84.173477,0.01,Dayton,OH,24.1,30.02,0.8,4.6,0.0,Light Freezing Drizzle,30.0
2,2016-02-15 07:37:49,2016-02-15 08:07:49,41.410461,-81.725853,0.0,Cleveland,OH,21.0,30.1,4.0,11.5,0.0,Light Snow,30.0
3,2016-02-15 07:46:58,2016-02-15 08:16:58,39.747753,-84.20558199999998,0.01,Dayton,OH,24.1,30.02,0.8,4.6,0.0,Light Freezing Drizzle,30.0
3,2016-02-15 07:52:29,2016-02-15 08:22:29,39.6395,-84.23136099999998,0.01,Dayton,OH,26.1,30.01,4.0,8.1,0.0,Overcast,30.0
2,2016-02-15 08:00:58,2016-02-15 08:30:58,39.94537,-82.88744399999999,0.01,Columbus,OH,24.1,30.06,1.0,5.8,0.01,Light Freezing Drizzle,30.0
2,2016-02-15 08:11:33,2016-02-15 08:41:33,39.79813,-84.24479699999998,0.01,Dayton,OH,25.0,29.99,0.8,6.9,0.0,Overcast,30.0
2,2016-02-15 08:10:15,2016-02-15 08:40:15,40.081715,-82.89576,0.01,Westerville,OH,24.1,30.06,1.0,5.8,0.01,Light Freezing Drizzle,30.0
2,2016-02-15 08:15:01,2016-02-15 09:04:00,41.111031,-81.550728,0.0,Akron,OH,23.0,30.03,2.0,5.8,0.0,Overcast,48.983333333333334
2,2016-02-15 08:31:47,2016-02-15 09:01:47,40.082016,-82.937119,0.01,Columbus,OH,26.1,30.06,1.0,5.8,0.01,Light Freezing Drizzle,30.0
2,2016-02-15 08:39:04,2016-02-15 09:09:04,39.763363,-84.15535,0.0,Dayton,OH,27.0,30.04,2.5,3.5,0.0,Light Freezing Drizzle,30.0
2,2016-02-15 11:31:02,2016-02-15 12:01:02,39.740063,-84.191833,0.01,Dayton,OH,32.0,29.99,1.5,5.8,0.0,Overcast,30.0
2,2016-02-15 12:30:47,2016-02-15 13:15:47,39.99876,-82.625221,0.01,Pataskala,OH,32.0,29.99,5.0,8.1,0.0,Overcast,45.0
2,2016-02-15 12:34:50,2016-02-15 13:19:50,39.740063,-84.191833,0.01,Dayton,OH,32.0,29.98,4.0,5.8,0.0,Overcast,45.0
2,2016-02-15 12:53:44,2016-02-15 13:23:44,39.99519,-82.86859100000002,0.01,Columbus,OH,30.9,29.99,2.0,8.1,0.0,Mostly Cloudy,30.0
1,2016-02-15 17:22:10,2016-02-15 18:07:10,41.395805,-81.935562,0.0,North Olmsted,OH,33.1,29.95,7.0,5.8,0.0,Overcast,45.0
2,2016-02-15 18:27:18,2016-02-15 19:12:18,39.887058,-82.883263,0.01,Groveport,OH,33.6,29.86,7.0,3.5,0.0,Light Drizzle,45.0
3,2016-02-15 19:37:18,2016-02-15 20:22:18,39.824703,-83.141228,0.01,Orient,OH,32.9,29.86,1.8,7.0,0.0,Overcast,45.0
